Date,T100ECMU Index,SPGSCIP Index,LBUSTRUU Index,SPXT Index
6/21/02,35.97,364.7929,1050.8199,1404.2065
6/24/02,36.29,372.867,1047.78,1409.3002
6/25/02,36.19,372.4312,1048.2,1385.7655
6/26/02,36.33,373.0451,1052.35,1382.7828
6/27/02,36.35,374.5914,1047.97,1407.1083
6/28/02,36.55,374.933,1047.53,1405.9435
7/1/02,36.69,376.8448,1048.1899,1375.8789
7/2/02,36.43,376.3814,1051.03,1346.9618
7/3/02,36.5,375.8883,1051.1,1355.3966
7/4/02,36.49,375.8883,1051.1,1355.3966
7/5/02,36.64,376.8167,1046.41,1405.1956
7/8/02,36.41,367.8742,1049.2,1388.4392
7/9/02,36.65,369.7184,1053.2,1354.2336
7/10/02,36.72,374.7272,1057.62,1308.2985
7/11/02,36.83,375.194,1057.8101,1318.1838
7/12/02,37.04,378.5837,1058.78,1309.6801
7/15/02,37.28,376.3398,1057.26,1304.7625
7/16/02,37.55,383.2467,1053.17,1280.7838
7/17/02,37.37,383.7829,1055.7,1287.9779
7/18/02,37.57,383.0757,1058.17,1253.2085
7/19/02,37.64,383.7757,1059.89,1205.1593
7/22/02,37.75,376.7432,1063.04,1165.4792
7/23/02,37.01,370.8632,1063.89,1133.9878
7/24/02,37.12,376.2343,1062.9,1199.0078
7/25/02,36.81,374.0747,1063.4399,1192.2823
7/26/02,36.37,371.7926,1062.21,1212.4089
7/29/02,35.92,369.8972,1056.14,1278.1025
7/30/02,36.47,376.8568,1055.4399,1283.6199
7/31/02,36.79,376.519,1060.17,1296.344
8/1/02,36.84,370.7477,1063.27,1258.2179
8/2/02,36.86,373.2713,1068.26,1229.1932
8/5/02,36.74,368.6736,1068.13,1187.0718
8/6/02,36.91,373.7558,1063.34,1222.5875
8/7/02,37,368.8701,1066.97,1247.2791
8/8/02,36.88,370.157,1064.27,1288.1234
8/9/02,37.07,372.6781,1068.85,1292.9424
8/12/02,37.59,381.4835,1070.23,1286.0891
8/13/02,37.87,383.2939,1074.26,1258.3615
8/14/02,38.01,384.8475,1075.4399,1309.0402
8/15/02,38.37,393.9098,1071.26,1324.3159
8/16/02,38.14,394.2004,1066.17,1322.3636
8/19/02,37.76,396.1699,1067.66,1353.6276
8/20/02,37.43,393.5454,1074.05,1334.7037
8/21/02,37.67,397.9974,1073.89,1351.8198
8/22/02,37.5,398.5588,1070.91,1370.8481
8/23/02,37.42,397.0121,1073.88,1339.7854
8/26/02,37.56,402.2859,1075.04,1349.8773
8/27/02,37.7,399.8524,1072.37,1331.1956
8/28/02,37.49,395.3846,1074.83,1307.2771
8/29/02,37.58,397.0774,1077.11,1307.2839
8/30/02,37.77,398.7479,1078.0699,1304.8552
9/2/02,37.79,398.7479,1078.0699,1304.8552
9/3/02,37.83,388.495,1083.91,1250.6779
9/4/02,38,395.2103,1084.74,1273.0261
9/5/02,38.36,403.378,1086.41,1252.7723
9/6/02,38.81,409.4316,1081.13,1273.881
9/9/02,39.15,413.7037,1080.71,1286.7916
9/10/02,39.23,414.5452,1083.08,1296.2291
9/11/02,39.5,414.1081,1080.84,1296.2516
9/12/02,39.03,406.6953,1085.04,1264.4172
9/13/02,38.9,413.2615,1088.08,1268.566
9/16/02,39.01,412.8683,1089.49,1270.4492
9/17/02,38.91,409.7113,1090.03,1245.3872
9/18/02,39.05,414.3507,1089.8199,1239.704
9/19/02,38.74,413.3519,1092.42,1202.4647
9/20/02,38.57,412.6845,1091.59,1205.4203
9/23/02,38.42,418.3028,1093.79,1188.764
9/24/02,38.8,417.5415,1093.45,1168.223
9/25/02,38.58,414.7875,1090.01,1197.5586
9/26/02,38.7,415.1909,1090.2,1219.6011
9/27/02,38.74,417.127,1092.83,1180.2813
9/30/02,38.26,416.3712,1095.53,1163.0444
10/1/02,38.4,419.2817,1092.59,1209.5896
10/2/02,38.27,417.9618,1093.28,1181.3225
10/3/02,38.04,407.5819,1093.35,1168.5691
10/4/02,38.09,406.0982,1092.8199,1142.3567
10/7/02,38.28,406.937,1093.7,1120.515
10/8/02,38.33,408.2779,1091.8,1139.899
10/9/02,37.98,407.4541,1093.63,1108.9093
10/10/02,37.73,402.8352,1091.09,1147.7996
10/11/02,37.71,408.2197,1087.5699,1192.6299
10/14/02,38.08,414.1152,1087.5699,1201.3673
10/15/02,38.73,415.4887,1081.21,1258.2373
10/16/02,38.62,414.3167,1079.71,1228.0144
10/17/02,38.69,416.0579,1076.52,1255.4176
10/18/02,38.64,414.965,1076.51,1262.8364
10/21/02,38.32,404.1801,1074.13,1284.7273
10/22/02,38.13,400.9651,1073.72,1271.0787
10/23/02,38.18,402.685,1074.17,1279.6335
10/24/02,38.28,402.9836,1077.92,1260.1681
10/25/02,37.91,394.6501,1080.5601,1281.8066
10/28/02,37.83,396.6028,1082.7,1271.2045
10/29/02,37.88,392.5383,1088.46,1259.7939
10/30/02,37.8,393.4887,1088.25,1272.2462
10/31/02,37.96,396.1772,1090.54,1265.4108
11/1/02,37.91,395.6113,1088.6,1287.1273
11/4/02,37.83,391.9327,1087.65,1297.6919
11/5/02,37.75,385.017,1087.2,1307.8009
11/6/02,37.59,381.3017,1089.78,1320.0389
11/7/02,37.47,377.836,1095.45,1290.1544
11/8/02,37.17,378.1783,1096.96,1278.9421
11/11/02,37.09,378.3563,1096.96,1252.4186
11/12/02,36.83,377.288,1096.8101,1262.1416
11/13/02,36.58,371.4213,1097.67,1261.968
11/14/02,36.83,372.8037,1092.87,1293.2136
11/15/02,37.04,376.2556,1093.3,1301.2808
11/18/02,36.94,386.6469,1095.22,1287.7909
11/19/02,37.32,386.0175,1096.5601,1282.6128
11/20/02,37.29,390.6048,1093.01,1307.6095
11/21/02,37.29,393.1021,1091.0699,1335.7457
11/22/02,37.29,396.5338,1089.78,1331.165
11/25/02,37.29,391.5363,1089.8,1334.5181
11/26/02,37.31,391.7109,1093.73,1306.7908
11/27/02,37.44,395.4207,1087.85,1343.4712
11/28/02,37.4,395.4207,1087.85,1343.4712
11/29/02,37.35,394.9005,1090.25,1339.8916
12/2/02,37.55,399.6094,1090.45,1337.3448
12/3/02,37.12,397.7627,1090.36,1317.6453
12/4/02,37.1,393.2547,1092.6899,1313.5348
12/5/02,37,397.7049,1094.88,1297.8042
12/6/02,36.83,394.428,1096.2,1305.9855
12/9/02,36.66,396.0219,1098.11,1277.0538
12/10/02,36.79,403.2628,1098.42,1294.9078
12/11/02,36.78,402.3689,1101.13,1295.9069
12/12/02,36.86,410.6314,1101.17,1291.1624
12/13/02,36.93,416.7746,1099.9,1273.8297
12/16/02,36.96,429.1837,1097.9399,1303.8464
12/17/02,36.97,427.3249,1099.16,1293.26
12/18/02,36.93,431.4783,1102.17,1276.3623
12/19/02,36.97,429.2706,1105.95,1266.7897
12/20/02,36.98,429.7846,1106.02,1283.2551
12/23/02,37.08,440.6223,1105.63,1285.6017
12/24/02,37.14,442.6988,1107.52,1278.5786
12/26/02,37,442.4874,1108.38,1274.5553
12/27/02,37.02,443.7979,1112.24,1254.6553
12/30/02,36.63,431.0307,1113.6899,1260.4183
12/31/02,36.81,428.1334,1112.77,1261.1763
