DATE,SPXT,BOND,FTSE
7/31/02,1296.344,1060.17,36.79
8/1/02,1258.2179,1063.27,36.84
8/2/02,1229.1932,1068.26,36.86
8/5/02,1187.0718,1068.13,36.74
8/6/02,1222.5875,1063.34,36.91
8/7/02,1247.2791,1066.97,37
8/8/02,1288.1234,1064.27,36.88
8/9/02,1292.9424,1068.85,37.07
8/12/02,1286.0891,1070.23,37.59
8/13/02,1258.3615,1074.26,37.87
8/14/02,1309.0402,1075.4399,38.01
8/15/02,1324.3159,1071.26,38.37
8/16/02,1322.3636,1066.17,38.14
8/19/02,1353.6276,1067.66,37.76
8/20/02,1334.7037,1074.05,37.43
8/21/02,1351.8198,1073.89,37.67
8/22/02,1370.8481,1070.91,37.5
8/23/02,1339.7854,1073.88,37.42
8/26/02,1349.8773,1075.04,37.56
8/27/02,1331.1956,1072.37,37.7
8/28/02,1307.2771,1074.83,37.49
8/29/02,1307.2839,1077.11,37.58
8/30/02,1304.8552,1078.0699,37.77
9/2/02,1304.8552,1078.0699,37.79
9/3/02,1250.6779,1083.91,37.83
9/4/02,1273.0261,1084.74,38
9/5/02,1252.7723,1086.41,38.36
9/6/02,1273.881,1081.13,38.81
9/9/02,1286.7916,1080.71,39.15
9/10/02,1296.2291,1083.08,39.23
9/11/02,1296.2516,1080.84,39.5
9/12/02,1264.4172,1085.04,39.03
9/13/02,1268.566,1088.08,38.9
9/16/02,1270.4492,1089.49,39.01
9/17/02,1245.3872,1090.03,38.91
9/18/02,1239.704,1089.8199,39.05
9/19/02,1202.4647,1092.42,38.74
9/20/02,1205.4203,1091.59,38.57
9/23/02,1188.764,1093.79,38.42
9/24/02,1168.223,1093.45,38.8
9/25/02,1197.5586,1090.01,38.58
9/26/02,1219.6011,1090.2,38.7
9/27/02,1180.2813,1092.83,38.74
9/30/02,1163.0444,1095.53,38.26
10/1/02,1209.5896,1092.59,38.4
10/2/02,1181.3225,1093.28,38.27
10/3/02,1168.5691,1093.35,38.04
10/4/02,1142.3567,1092.8199,38.09
10/7/02,1120.515,1093.7,38.28
10/8/02,1139.899,1091.8,38.33
10/9/02,1108.9093,1093.63,37.98
10/10/02,1147.7996,1091.09,37.73
10/11/02,1192.6299,1087.5699,37.71
10/14/02,1201.3673,1087.5699,38.08
10/15/02,1258.2373,1081.21,38.73
10/16/02,1228.0144,1079.71,38.62
10/17/02,1255.4176,1076.52,38.69
10/18/02,1262.8364,1076.51,38.64
10/21/02,1284.7273,1074.13,38.32
10/22/02,1271.0787,1073.72,38.13
10/23/02,1279.6335,1074.17,38.18
10/24/02,1260.1681,1077.92,38.28
10/25/02,1281.8066,1080.5601,37.91
10/28/02,1271.2045,1082.7,37.83
10/29/02,1259.7939,1088.46,37.88
10/30/02,1272.2462,1088.25,37.8
10/31/02,1265.4108,1090.54,37.96
11/1/02,1287.1273,1088.6,37.91
11/4/02,1297.6919,1087.65,37.83
11/5/02,1307.8009,1087.2,37.75
11/6/02,1320.0389,1089.78,37.59
11/7/02,1290.1544,1095.45,37.47
11/8/02,1278.9421,1096.96,37.17
11/11/02,1252.4186,1096.96,37.09
11/12/02,1262.1416,1096.8101,36.83
11/13/02,1261.968,1097.67,36.58
11/14/02,1293.2136,1092.87,36.83
11/15/02,1301.2808,1093.3,37.04
11/18/02,1287.7909,1095.22,36.94
11/19/02,1282.6128,1096.5601,37.32
11/20/02,1307.6095,1093.01,37.29
11/21/02,1335.7457,1091.0699,37.29
11/22/02,1331.165,1089.78,37.29
11/25/02,1334.5181,1089.8,37.29
11/26/02,1306.7908,1093.73,37.31
11/27/02,1343.4712,1087.85,37.44
11/28/02,1343.4712,1087.85,37.4
11/29/02,1339.8916,1090.25,37.35
12/2/02,1337.3448,1090.45,37.55
12/3/02,1317.6453,1090.36,37.12
12/4/02,1313.5348,1092.6899,37.1
12/5/02,1297.8042,1094.88,37
12/6/02,1305.9855,1096.2,36.83
12/9/02,1277.0538,1098.11,36.66
12/10/02,1294.9078,1098.42,36.79
12/11/02,1295.9069,1101.13,36.78
12/12/02,1291.1624,1101.17,36.86
12/13/02,1273.8297,1099.9,36.93
12/16/02,1303.8464,1097.9399,36.96
12/17/02,1293.26,1099.16,36.97
12/18/02,1276.3623,1102.17,36.93
12/19/02,1266.7897,1105.95,36.97
12/20/02,1283.2551,1106.02,36.98
12/23/02,1285.6017,1105.63,37.08
12/24/02,1278.5786,1107.52,37.14
12/26/02,1274.5553,1108.38,37
12/27/02,1254.6553,1112.24,37.02
12/30/02,1260.4183,1113.6899,36.63
12/31/02,1261.1763,1112.77,36.81
1/2/03,1303.1732,1104.97,37.36
1/3/03,1302.5464,1105.33,37.47
1/6/03,1331.8198,1105.12,37.39
1/7/03,1323.1704,1107.55,37.34
1/8/03,1304.9525,1109.73,37.56
1/9/03,1330.3057,1103,37.68
1/10/03,1330.2935,1103.45,37.44
1/13/03,1328.5023,1105.39,37.45
1/14/03,1336.2455,1107.36,37.35
1/15/03,1317.1783,1108.64,37.54
1/16/03,1312.005,1108.48,37.71
1/17/03,1293.6265,1110.47,37.77
1/20/03,1293.6265,1110.47,37.87
1/21/03,1273.3141,1111.83,37.87
1/22/03,1260.1572,1113.86,38.06
1/23/03,1273.0399,1112.72,37.98
1/24/03,1235.8378,1114.5601,38.31
1/27/03,1215.8585,1112.6,38.03
1/28/03,1231.7371,1112.25,38.07
1/29/03,1240.3127,1110.55,38.49
1/30/03,1212.228,1112.49,38.77
1/31/03,1228.1378,1113.72,38.72
2/3/03,1234.785,1113.73,38.77
2/4/03,1217.3998,1116.11,38.87
2/5/03,1211.0419,1113.5699,38.96
2/6/03,1203.5841,1116.17,39.2
2/7/03,1191.4565,1117.46,39.64
2/10/03,1200.509,1115.6801,39.46
2/11/03,1190.8345,1116.36,39.61
2/12/03,1176.1536,1118.09,39.19
